,Modulbezeichnung: ,engl. Modulbezeichnung: ,ggf. Modulniveau: ,Kürzel: ,ggf. Untertitel: ,ggf. Lehrveranstaltungen: ,Studiensemester: ,Semesterlage: ,Modulverantwortliche(r):  ,Dozent(in): ,Sprache: ,Zuordnung zum Curriculum:  ,Lehrform / SWS:  ,Arbeitsaufwand:  ,Kreditpunkte: ,Empfohlene Voraussetzungen: ,Angestrebte Lernergebnisse:  ,Inhalt:  ,Studien-/ Prüfungsleistungen: ,Medienformen: ,Literatur: 
1728,,,,,,,,,,,,FIN: M.Sc. WIF - Bereich Informatik ,,180h (56 h Präsenzzeit + 124 h selbstständige Arbeit) , ,, ,"Betrachtungen, die in den Fertigungsverfahren (Urformen, ", ,, 
1729,,,,,,,,,,,, ,, ,7 ,, , ,Klausur ,, 
1730,,,,,,,,,,,, ,,Präsenzzeiten: , ,,"Ziel der Veranstaltung ist es, die für das ingenieurtechnische ", , ,, 
1731,,,,,,,,,,,,FIN: B.Sc. CV - Anwendungsfach - Biologie ,,wöchentliche Vorlesungen 2 SWS ,Voraussetzungen nach ,,"Handeln relevanten Zusammenhänge zwischen Mensch, Technik ",Seite 257   Inhaltsverzeichnis , ,, 
1732,,,,,,,,,,,, ,,wöchentliche Übungen 2 SWS ,Prüfungsordnung: ,,und Organisation zu vermitteln. Die Teilnehmer sollen ,     , ,,Seite 295   Inhaltsverzeichnis 
1733,,,,,,,,,,,, ,,Selbstständiges Arbeiten: , ,,"Methoden und Standards erwerben, um Arbeit ", ,Teilnahme an den Vorlesungen und Übungen; ,,     
1734,,,,,,,,,,,,FIN: B.Sc. CV - Anwendungsfach - Biologie ,, Übungsaufgaben & Prüfungsvorbereitung ,5 ,,menschengerecht gestalten zu können. ,"Umformen, Trennen, Fügen), den Wirkprinzipien und der sie ",Praktikum im Galileo-Testfeld; Versuchslabor und ,, 
1735,,,,,,,,,,,, ,,180h (56h Präsenzzeit in den Vorlesungen & Übungen + 124h , ,,"Es wird die Notwendigkeit vermittelt, das Beziehungsgefüge ","realisierenden Werkzeugmaschinen, Werkzeuge und ",Containerterminal Magdeburg ,,Bjarne Stroustrup. The C++ Programming LanguageFrank B. 
1736,,,,,,,,,,,, ,,selbstständige Arbeit) ,Voraussetzungen nach ,,"Mensch-Technik-Organisation so zu planen und zu gestalten, ",Vorrichtungen sowie den technologischen und ökonomischen ,Schriftliche Prüfung ,,Brokken. C++ Annotations. 
1737,,,,,,,,,,,,FIN: M.Sc. CV - Bereich Computervisualistik ,, ,Prüfungsordnung: ,,dass die menschlichen Leistungspotenzen optimal genutzt und ,Einsatzgebieten ihre technischen Hauptkomponenten besitzt. , ,,[http://www.icce.rug.nl/documents/cplusplus/] 
1738,,,,,,,,,,,,FIN: M.Sc. DKE - Applied Data Science ,,Präsenzzeit = 56 Stunden: , ,,gezielt weiterentwickelt werden können und dass keine ,Darüber hinaus werden organisatorische Aspekte der , ,,Scott Meyers. Effective C++ 
1739,,,,,,,,,,,,FIN: M.Sc. DKE (alt) - Bereich Applications ,,2 SWS Vorlesung ,10 ,,schädigenden oder beeinträchtigenden Wirkungen auf ,Fertigungsplanung und des Qualitätsmanagements mit dem Ziel , ,,Nicolai M. Josuttis. The C++ Standard Library - A Tutorial and 
1740,,,,,,,,,,,,FIN: M.Sc. INF - Bereich Informatik ,,2 SWS Übung , ,,Gesundheit und Befinden des Menschen entstehen. Auf diese ,"betrachtet, die Kategorien Mengenleistungen, Fertigungskosten ",Seite 668   Inhaltsverzeichnis ,,"Reference, 2nd Edition "
1741,,,,,,,,,,,,FIN: M.Sc. INGINF - Bereich Informatik ,,Selbstständige Arbeit = 94 Stunden: ,Voraussetzungen nach ,,Weise kann die Wirtschaftlichkeit in Einheit mit Humanität der ,und Qualität zu optimieren. ,     ,, 
1742,,,,,,,,,,,,FIN: M.Sc. WIF - Bereich Informatik ,,"Vor- und Nachbearbeitung von Vorlesung und Übung, ",Prüfungsordnung: ,,Arbeit realisiert werden. Die Lehrveranstaltungen bieten dafür , , ,, 
1743,,,,,,,,,,,, ,,"Bearbeiten von Übungs- und Programmieraufgaben, Kursprojekt ", ,,"für Ingenieure, die nicht als Spezialisten der Arbeitsgestaltung ", , ,, 
1744,,,,,,,,,,,, ,,"5 CP = 150 Stunden (28h Präsenszeit, 122h selbstständigeArbeit) ",7 ,,"tätig sind, arbeitswissenschaftli-che Grundlagen und ",Ausgangspunkt: fertigungsgeometrischen Gegebenheiten und ,Klausur 180 min ,, 
1745,,,,,,,,,,,,FIN: M.Sc. CV - Bereich Informatik ,, , ,,Handlungsanleitungen bzw. -impulse. ,Angaben auf Zeichnungen , ,, 
1746,,,,,,,,,,,,FIN: M.Sc. DIGIENG - Fachliche Spezialisierung ,,Präsenzzeiten: ,Voraussetzungen nach ,, ,"Grundkenntnisse zu Maßverkörperungen, Messabweichungen, ", ,, 
1747,,,,,,,,,,,,FIN: M.Sc. DKE - Data Processing for Data Science ,,2 SWS Vorlesung / 2 SWS Übung ,Prüfungsordnung: ,, ,Messunsicherheiten sowie Geräteüberwachung ,Mündliche Prüfung ,,Seite 297   Inhaltsverzeichnis 
1748,,,,,,,,,,,,FIN: M.Sc. DKE (alt) - Bereich Methods II ,,Selbstständiges Arbeiten: , ,,Seite 331   Inhaltsverzeichnis ,Physikalische Grundprinzipien von Messgeräte , ,,     
1749,,,,,,,,,,,,FIN: M.Sc. INF - Bereich Informatik ,,Bearbeitung von Übungs- und Programmieraufgaben & ,5 ,,     , , ,, 
1750,,,,,,,,,,,,FIN: M.Sc. INGINF - Bereich Informatik ,,Prüfungsvorbereitungen5 Credit Points (Bachelor) = 150h = 4 , ,, , ,Prüfung: Klausur 120 Min. ,,siehe http://wwwisg.cs.uni-magdeburg.de/bv/gcv/cv.html 
1751,,,,,,,,,,,,FIN: M.Sc. VC - Computer Science ,,SWS = 56h Präsenzzeit + 94h selbstständige Arbeit. ,Voraussetzungen nach ,, ,Seite 259   Inhaltsverzeichnis , ,, 
1752,,,,,,,,,,,,FIN: M.Sc. WIF - Bereich Informatik ,,6 Credit Points für Master mit Zusatzaufgabe im Rahmen der ,Prüfungsordnung: ,,Lernziele & erworbene Kompetenzen:Erwerb von ,     , ,, 
1753,,,,,,,,,,,, ,,Übung ,Fördertechnik (Master MB) ,,fortgeschrittenen Kenntnissen im Gebiet interaktiver Systeme , , ,, 
1754,,,,,,,,,,,, ,, , ,,und Empfehlungssysteme ,Einsatz von Messgeräten und Lehren zur Überprüfung ,Prüfungsvorleistung: s. Vorlesung ,, 
1755,,,,,,,,,,,,FIN: B.Sc. CV - WPF Informatik ,,Präsenzzeiten ,8 ,,Erwerb praktischer Erfahrung mittels Durchführung eines ,geometrischer Element ,Prüfung: mündlich ,, 
1756,,,,,,,,,,,,FIN: B.Sc. INF - WPF Informatik ,,"2SWS (Vorlesung), 1SWS (optionale Übung) ", ,,Projektes ,Statistischen Analyse und Verarbeitung der Messwerten , ,, 
1757,,,,,,,,,,,,FIN: B.Sc. INGINF - WPF Informatik ,,Selbstständiges Arbeiten ,Voraussetzungen nach ,, ,"Anwendungen statistischer Verfahren zur Qualitätsplanung, -", ,,Seite 299   Inhaltsverzeichnis 
1758,,,,,,,,,,,,FIN: B.Sc. WIF - WPF Gestalten & Anwenden ,,Vorlesungsnachbereitung ,Prüfungsordnung: ,,Lernziele und erworbene Kompetenzen: ,bewertung und -regelung von Produktionsprozessen , ,,     
1759,,,,,,,,,,,,FIN: M.Sc. CV - Bereich Informatik ,,90h (28h Präsenzzeit + 62h selbstständige Arbeit) ,GET 1 und 2 sowie GET 3 ,,"The module provides an introduction to the theory, description ", ,Dieses Modul wird durch unterschiedliche Lehrveranstaltungen ,, 
1760,,,,,,,,,,,,FIN: M.Sc. DKE - Applied Data Science ,,Attendance times: , ,,"and analysis of systems that contains continuous, discrete and ",Grundlagen der FertigungsplanungRohteilvarianten ,implementiert. Studien-/ Prüfungsleistungen sind ,,siehe Script 
1761,,,,,,,,,,,,FIN: M.Sc. DKE (alt) - Bereich Applications ,,"2 SWS, weekly seminar, ",4 ,,event driven dynamics. Specific focus is set on the introduction ,"Flächen am Werkstück, Technologische Basen, Spannmittel ",veranstaltungsspezifisch und werden zu Beginn der ,, 
1762,,,,,,,,,,,,FIN: M.Sc. INF - Bereich Informatik ,,"independent work: preparation of the talk, preparation of the ", ,,"of various system descriptions, on the analysis of the properties ",Teilebearbeitungsabläufe mit und ohne Wärmebehandlung ,Veranstaltung bekanntgegeben. ,, 
1763,,,,,,,,,,,,FIN: M.Sc. INGINF - Bereich Informatik ,,seminar work  ,Voraussetzungen nach ,,"of the systems, as well as on the design and development of ",Montage und Demontage von Bauteilen und Produkten ,Das Modul wird in den Studiengängen der FIN nicht benotet. ,, 
1764,,,,,,,,,,,,FIN: M.Sc. WIF - Bereich Informatik ,, ,Prüfungsordnung: ,,suitable control and observation methods ,Qualitätsmanagement und Prüfplanung , ,, 
1765,,,,,,,,,,,, ,,Präsenzzeiten: 14 X 4h (2h Vorlesung + 2h Übung) = 56 h ,"Grundlagen der Elektrotechnik I-III, Theoretische Elektrotechnik ",, , , ,, 
1766,,,,,,,,,,,, ,,Selbstständiges Nachbereiten der Vorlesung: 124 h , ,, , ,Seite 678   Inhaltsverzeichnis ,, 
1767,,,,,,,,,,,,FIN: B.Sc. CV - Schlüssel- und Methodenkompetenzen - FIN SMK ,, ,6 ,,Lernziele & erworbene Kompetenzen: , ,     ,,Seite 301   Inhaltsverzeichnis 
1768,,,,,,,,,,,,FIN: B.Sc. INF - Schlüssel- und Methodenkompetenzen - FIN SMK ,, , ,,Aufgabengerechte Entwicklung v. Ideenfindungstechniken , , ,,     
1769,,,,,,,,,,,,FIN: B.Sc. INGINF - Schlüssel- und Methodenkompetenzen - FIN ,,Präsenzzeit = 28 Stunden: ,Voraussetzungen nach ,,Meilensteinorientierte Projektarbeit im Team ,Seite 263   Inhaltsverzeichnis , ,, 
1770,,,,,,,,,,,,SMK ,,2 SWS Vorlesung ,Prüfungsordnung: ,,Planung und Moderation von Workshops ,     , ,,"Hopcroft, Motwani, Ullmann; Einführung in der "
1771,,,,,,,,,,,,FIN: B.Sc. WIF - WPF Verstehen & Gestalten ,,Selbstständige Arbeit = 122 Stunden: , ,,"Fähigkeit, kreativ zu denken und Ideen zu produzieren ", , ,,"Automatentheorie, Formale Sprachen und "
1772,,,,,,,,,,,,FIN: B.Sc. WIF - WPF Gestalten & Anwenden - FIN SMK ,,"Vor- und Nachbearbeitung der Vorlesung, Bearbeiten von ",6 ,,Führung und Strukturierung von Diskussionen ,Die Lehrveranstaltung Fertigungstechnik I dient der Vermittlung ,Dieses Modul wird durch unterschiedliche Lehrveranstaltungen ,,"KomplexitätstheorieLewis, Papadimitriou; Elements of the "
1773,,,,,,,,,,,, ,,Übungs- und Programmieraufgaben , ,,Präsentation und Berichterstattung eigener Arbeitsergeb-nisse ,"vertiefender Kenntnisse und Methoden (Gesetzmäßigkeiten, ",implementiert. Studien-/ Prüfungsleistungen sind ,,Theory of Computation 
1774,,,,,,,,,,,, ,,"Präsenzzeiten: Vorlesung 2 SWS, Übung 1 SWS, Praktikum 1 SWS ",Voraussetzungen nach ,,unter Verwendung digitaler Medienformen ,"Mo-delle, Regeln,..) ",veranstaltungsspezifisch und in Kooperation mit dem ,,Sipser; Theory of Computation. 
1775,,,,,,,,,,,,FIN: B.Sc. INF - WPF Technische Informatik ,,selbständiges Bearbeiten eines Projektes ,Prüfungsordnung: ,, ,zu mechanisch-physikalischen und chemischen Wirkprinzipien ,Praxispartner zu erbringen. Sie werden zu Beginn der ,, 
1776,,,,,,,,,,,,FIN: B.Sc. INGINF - WPF Technische Informatik ,, , ,, ,zu den sie begleitenden technologisch unerwünschten äußeren ,Veranstaltung bekanntgegeben. ,, 
1777,,,,,,,,,,,,FIN: M.Sc. INF - Bereich Informatik ,,In class teaching: ,3 ,,"Die Studenten entwickeln die Fähigkeit, spezifische Merkmale ","Erscheinungen, wie z.B. Kräfte und Momente, Reibung und ", ,, 
1778,,,,,,,,,,,,FIN: M.Sc. INGINF - Bereich Informatik ,,- 2 SWS lecture / 2 SWS tutorial , ,,und systematische Probleme der Immunologie zu beschreiben ,"Verschleiß, Temperaturen, Verformungen, geometrische ", ,, 
1779,,,,,,,,,,,, ,,Self-study: ,Voraussetzungen nach ,,und zu beurteilen. ,"Abweichungen, stoffliche Eigenschaftsänderungen zur ",Seite 680   Inhaltsverzeichnis ,, 
1780,,,,,,,,,,,, ,,- Self-study of lecture material / solution of exercises and ,Prüfungsordnung: ,,"Im Praktikum werden die Studenten geschult, die spezifischen ",technologischen Verfahrensgestaltung ,     ,, 
1781,,,,,,,,,,,,FIN: B.Sc. CV - Anwendungsfach - Bildinformationstechnik ,,assignments , ,,Ar-beitstechniken des Fachgebietes sicher zu beherrschen. ,zu den Wechselwirkungen zwischen dem Verfahren und den zu , ,,Seite 303   Inhaltsverzeichnis 
1782,,,,,,,,,,,, ,, ,3 ,, ,ver- und bearbeitenden Werkstoffen anhand exemplarisch ,Das Modul wird in den Studiengängen der FIN nicht benotet ,,     
1783,,,,,,,,,,,, ,, , ,,Verständnis von Grenzen traditioneller Programmierparadigmen ,"ausgewählter Fertigungsverfahren des Ur- und Umformens, ", ,, 
1784,,,,,,,,,,,,FIN: B.Sc. CV - Schlüssel- und Methodenkompetenzen - ,,Präsenzzeiten: ,Voraussetzungen nach ,,bzgl. der Entwicklung von InformationssystemenKenntnisse über ,"Spanens und Fügens.Dabei wird das Ziel verfolgt, die ", ,,Sipser; Theory of Computation.Kozen; Automata and 
1785,,,,,,,,,,,,Wissenschaftliches Seminar ,,"SWS Vorlesung, 1 SWS Übung ",Prüfungsordnung: ,, ,Wirtschaftlichkeit dieser Fertigungsverfahren und die Qualität , ,,Computability 
1786,,,,,,,,,,,,FIN: B.Sc. INF - Schlüssel- und Methodenkompetenzen - ,,Selbstständige Arbeit: , ,, ,der Bauteile reproduzierbar zu gewährleisten. ,Prüfungsvoraussetzungen: Anmeldung und Teilnahme an den ,,Shallit: A Second Course in Formal Languages and Automata 
1787,,,,,,,,,,,,Wissenschaftliches Seminar ,,"Nacharbeiten der Vorlesung, ",6 ,,Seite 341   Inhaltsverzeichnis , ,Vorlesungen und Übungen ,,Theory 
1788,,,,,,,,,,,,FIN: B.Sc. INGINF - Schlüssel- und Methodenkompetenzen - ,,"selbständiges Bearbeiten eines Projektes, Prüfungsvorbereitung ", ,,     , ,Prüfung/ Schein: mündlich ,, 
1789,,,,,,,,,,,,Wissenschaftliches Seminar ,,4 SWS / 8 Credit Points = 240 h (42 h Präsenzzeit + 108 h ,Voraussetzungen nach ,, ,Diskussion von Fragen der Ethik informationstechnischer , ,, 
1790,,,,,,,,,,,,FIN: B.Sc. WIF - Schlüssel- und Methodenkompetenzen - ,,selbständige Arbeit + 90 Stunden Projekt) ,Prüfungsordnung: ,,"moderne, erweiterte Programmierparadigmen mit Fokus auf die ","Anwendungen, wie z.B. ", ,, 
1791,,,,,,,,,,,,Wissenschaftliches Seminar ,, , ,,Erstellung maßgeschneiderter Systeme ,Einschränkung von Persönlichkeitsrechten ,Exam: oral ,, 
1792,,,,,,,,,,,,FIN: M.Sc. CV - Bereich Computervisualistik ,,Präsenzzeiten: wöchentlich 3 h Vorlesung 2 SWS / Übung 1 SWS ,3 ,,"Befähigung zur Bewertung, Auswahl ",Gesellschaftliche Effekte , ,, 
1793,,,,,,,,,,,,FIN: M.Sc. DIGIENG - Human Factors ,,Selbständiges Bearbeiten von 3 individuellen Übungsaufgaben , ,, , , ,, 
1794,,,,,,,,,,,,FIN: M.Sc. DKE - Applied Data Science ,,am Rechner ,Voraussetzungen nach ,,An understanding of 3D scanning in industrial metrologyAn , , ,,Seite 305   Inhaltsverzeichnis 
1795,,,,,,,,,,,,FIN: M.Sc. INF - Bereich Informatik ,,120 h (42 h Präsenzzeit + 78 h selbstständige Arbeit) ,Prüfungsordnung: ,,understanding of 3D data structures and processing algorithms ,Seite 265   Inhaltsverzeichnis ,Bearbeitung der Übungsaufgaben ,,     
1796,,,,,,,,,,,,FIN: M.Sc. INGINF - Bereich Informatik ,,"Präsenzzeiten: wöchentliche Vorlesung 2 SWS, wöchentliche ", ,,An understanding of algorithms that support the comparison of ,     ,mündliche Prüfung ,, 
1797,,,,,,,,,,,,FIN: M.Sc. VC - Visual Computing - Wahlpflichtfächer ,,"Übungen 1 SWS, ",6 ,,measured 3D data against CAD models , , ,,Sipser; Theory of Computation 
1798,,,,,,,,,,,,FIN: M.Sc. WIF - Bereich Informatik ,,"Selbständiges Arbeiten: Nachbereitung der Vorlesung, Lösung ", ,,An understanding of methods to visualize large amounts of 3D ,"Ethische Fragen spezifischer Anwendungen (z.B. Militär, ", ,,Kozen; Automata and Computability 
1799,,,,,,,,,,,, ,,"der Übungsaufgaben und Prüfungsvorbereitung, Projektarbeit ",Voraussetzungen nach ,,data with modern graphics hardware ,"Gentechnikt, etc.) ",Klausur bzw. mündliche Prüfung ,, 
1800,,,,,,,,,,,, ,,3 SWS = 150h (42h Präsenzzeit +108h selbständige Arbeit) ,Prüfungsordnung: ,, ,Sicherheit und Vertrauenswürdigkeit von Systemen am Beispiel , ,, 
1801,,,,,,,,,,,,FIN: M.Sc. CV - Bereich Informatik ,, , ,, ,vorgegebener uns selbst gewählter Spielfilme , ,, 
1802,,,,,,,,,,,,FIN: M.Sc. DIGIENG - Methoden der Informatik ,,Präsenzzeit: ,3 ,,Lernziele und erworbene Kompetenzen , , ,, 
1803,,,,,,,,,,,,FIN: M.Sc. DKE - Learning Methods & Models for Data Science ,,2 SWS Vorlesung , ,,Vertiefende Fähigkeiten und Fertigkeiten zum zeichnerischen , ,Das erfolgreiche Absolvieren der Semesteraufgabe ermöglicht ,, 
1804,,,,,,,,,,,,FIN: M.Sc. DKE (alt) - Bereich Fundamentals ,,2 SWS Übungen ,Voraussetzungen nach ,,und computerunterstützten Designentwurf ,Einführung in die Lehrveranstaltung (einschließlich Überblick ,den Studierenden die Teilnahme an der Prüfung. ,, 
1805,,,,,,,,,,,,FIN: M.Sc. INF - Bereich Informatik ,,Selbstständige Arbeit: ,Prüfungsordnung: ,,Kompetenzen zu entwurfsmethodischen Vorgehensweisen im ,über kommerzielle Softwaretools) ,Prüfung: schriftliche Prüfung (Klausur) jeweils im SoSe ,,Seite 307   Inhaltsverzeichnis 
1806,,,,,,,,,,,,FIN: M.Sc. INGINF - Bereich Informatik ,,Bearbeiten von Übungs- und Programmieraufgaben180 h = 56 h , ,,Industriedesign in interdisziplinären Teams , , ,,     
1807,,,,,,,,,,,,FIN: M.Sc. VC - Computer Science ,,Präsenzzeit + 124 h selbstständige Arbeit ,5 ,, , , ,, 
1808,,,,,,,,,,,,FIN: M.Sc. WIF - Bereich Informatik ,, , ,, ,Seite 267   Inhaltsverzeichnis ,Präsentation ,, 
1809,,,,,,,,,,,, ,,Präsenzzeiten: ,Voraussetzungen nach ,,Die Studierenden ,     , ,, 
1810,,,,,,,,,,,, ,,Vorlesung und integrierte Übung (4 SWS) ,Prüfungsordnung: ,,können eigenständig medienpädagogische Konzepte mit , , ,, 
1811,,,,,,,,,,,,FIN: B.Sc. CV - WPF Informatik ,,Selbstständige Arbeit: , ,,informatischen Inhalten entwickeln ,Problemangepasste Modellbildung mit Volumen- und , ,, 
1812,,,,,,,,,,,,FIN: B.Sc. INF - WPF Informatik ,,Vor- und Nachbereitung der Vorlesungen bzw. ,2 ,,können diese Konzepte didaktisch fundiert in der Praxis ,Schalenelementen (Schalen- vs. 3D Kontinumsmodelle) ,"Kumulative Prüfung: 1 Präsentation, 1 schriftliche Ausarbeitung ",, 
1813,,,,,,,,,,,,FIN: B.Sc. INF - Studienprofil - Computer Games ,,Übungen;Vorbereitung der mündlichen Prüfung100h (56h , ,,umsetzen ,"Finite Volumenelemente (Ansatzfunktionen, isoparametrisches ",3 Credit Points = 90h = 2SWS = 28h Präsenszeit + 62h ,, 
1814,,,,,,,,,,,,FIN: B.Sc. INF - Studienprofil - ForensikDesign@Informatik ,,Präsenzzeit + 44h selbstständige Arbeit) ,Voraussetzungen nach ,,kennen grundlegende Prinzipien der Projektentwicklung ,"Elementkonzept, Numerische Integration, Locking- und ",selbständige Arbeit ,,Seite 309   Inhaltsverzeichnis 
1815,,,,,,,,,,,,FIN: B.Sc. INF - Studienprofil - Lernende Systeme / Biocomputing ,, ,Prüfungsordnung: ,,kennen rechtliche Rahmenbedingungen beim Umgang mit ,"Hourglass-Phänomene, Superkonvergenz) ",Notenskala gemäß Prüfungsordnung ,,     
1816,,,,,,,,,,,,FIN: B.Sc. INGINF - WPF Informatik ,,Presence: 2 hours of lecture + 2 hours of exercises (56h) , ,,digitalen Medien ,"Finite Schalenelemente (Ahmad-Elemente, Kirchhoff- und ", ,, 
1817,,,,,,,,,,,,FIN: B.Sc. WIF - WPF Gestalten & Anwenden ,,"Self-study: Solving exercises, independent studies, preparation ",3 ,,"sind in der Lage, ein Projekt studiengangsübergreifend ","Mindlin-Elemente, Diskrete-Kirchhoff-Elemente, Patch-Test, ", ,, 
1818,,,,,,,,,,,,FIN: M.Sc. CV - Bereich Informatik ,,for final examination (124h) , ,,umzusetzen ,Elementauswahl) , ,,"Pascal Hitzler, Markus Krötzsch, Sebastian Rudolph, York Sure: "
1819,,,,,,,,,,,,FIN: M.Sc. DIGIENG - Methoden der Informatik ,, ,Voraussetzungen nach ,,können Informatikinhalte zielgruppenspezifisch strukturieren ,Kopplung von Schalenelementen mit 3D-Volumenelementen ,Teilnahme an den Lehrveranstaltungen ,,"Semantic Web Grundlagen. Springer-Verlag, 2007. "
1820,,,,,,,,,,,,FIN: M.Sc. DKE - Learning Methods & Models for Data Science ,,Präsenz: 2 SWS Vorlesung + 2 SWS Übung (56h) ,Prüfungsordnung: ,, ,"(Zwangsbedingungen, schwache Form der Koppelung,) ","Prüfung am Ende des Moduls, Notenskala gemäß ",,Andreas Dengel (Hrsg.): Semantische Technologien Grundlagen 
1821,,,,,,,,,,,,FIN: M.Sc. DKE (alt) - Bereich Models ,,"Selbstständiges Arbeiten: Bearbeiten der Übungsaufgaben, ", ,,Vertieftes Verständnis für Probleme der ,"Strukturdynamische Berechnungen (Eigenwerte, ","Prüfungsordnung, ",,– Konzepte – Anwendungen . Spektrum 2012 
1822,,,,,,,,,,,,FIN: M.Sc. DKE (alt) - Bereich Methods I ,,"Nachbereiten der Vorlesung, Vorbereiten auf die Prüfung (94h) ",5 ,,InformationssucheKenntnis von Datenstrukturen und ,"Modellreduktion nach Gyan und Craig-Bampton, modale ",Punktvergabe nach schriftl. Klausur oder mündliche Prüfung ,, 
1823,,,,,,,,,,,,FIN: M.Sc. INF - Bereich Informatik ,, , ,,"Algorithmen, die den Studierenden zur selbständigen ","Verfahren, Zeitintegration, Frequenzbereichsverfahren, Model-", ,, 
1824,,,,,,,,,,,,FIN: M.Sc. INGINF - Bereich Informatik ,,20 Wochen ,Voraussetzungen nach ,,Entwicklung und Evaluierung von Information Retrieval ,Updating). , ,, 
1825,,,,,,,,,,,,FIN: M.Sc. WIF - Bereich Informatik ,,Praktikumsspezifisch ,Prüfungsordnung: ,,Systemen befähigen. ,Überblick über die FEM zur Lösung allgemeiner (gekoppelter) ,Prüfungsvorleistungen: Werden zu Beginn des Semesters ,, 
1826,,,,,,,,,,,,WPF CMA ,,Präsenzzeiten: ,Grundkenntnis in der Informatik und Softwareentwicklung ,, ,"Feldprobleme (Wärmeleitung, Wärmespannungen). ",bekannt gegeben.  ,, 
1827,,,,,,,,,,,,"B ab 6, WPF MA ",,"28 h Projektbesprechung, Abgabe und Abnahme ", ,, ,"Zusammenfassung und Ausblick (Nichtlineare FEM, ",Prüfung: Klausur (120 Min.) ,, 
1828,,,,,,,,,,,,D-AFIF ab 6 ,,Selbstständiges Arbeiten: ,Master: 6 ,, ,Optimierung) , ,,Seite 311   Inhaltsverzeichnis 
1829,,,,,,,,,,,, ,,132 h Entwicklung einer Softwarelösung , ,,Seite 349   Inhaltsverzeichnis ,Selbständige Bearbeitung eines individuellen Projektes , ,,     
1830,,,,,,,,,,,, ,,20 h Vorbereitung und Durchführung einer Präsentation und der ,Voraussetzungen nach ,,     ,(Gruppenprojekt) , ,, 
1831,,,,,,,,,,,,FIN: M.Sc. DIGIENG - Fachliche Spezialisierung ,,Abgabe der Ergebnisse des Softwarepraktikums ,Prüfungsordnung: ,, , ,"Examinations: student talk, seminar paper (10 pages) ",, 
